N,replicate,jobs,oracle_cost,tpr_cost,gap_per_household,zero_zone_fraction,coordinator_margin_min,min_household_saving,runtime_seconds
125,9,226,-2362.9209969444573,-2362.9209969444582,0.0,0.0,-1.7763568394002505e-14,0.0,0.03284934815019369
125,10,221,-2400.2050720744,-2400.2050720744,0.0,0.0,-1.4210854715202004e-14,0.0,0.0498905424028635
125,11,223,-2438.253884480206,-2438.253884480207,0.0,0.0,-1.4210854715202004e-14,0.0,0.03209974430501461
125,12,225,-2316.6910750002103,-2316.6910750002107,0.0,0.0,-1.4210854715202004e-14,0.0,0.032610480673611164
125,13,237,-2354.9038848818527,-2354.9038848818527,0.0,0.0,-1.4210854715202004e-14,0.0,0.03354169148951769
125,14,221,-2421.7788632512056,-2421.7788632512056,0.0,0.0,-1.4210854715202004e-14,0.0,0.03153359051793814
125,15,218,-2415.674630734398,-2415.674630734398,0.0,0.0,-1.4210854715202004e-14,0.0,0.03185311798006296
150,0,264,-2865.545381303087,-2865.545381303087,0.0,0.0,-1.0658141036401503e-14,0.0,0.03773372434079647
150,1,294,-2677.8552678862084,-2677.855267886209,0.0,0.0,-2.1316282072803006e-14,0.0,0.04106323141604662
150,2,276,-2753.7288036055147,-2753.7288036055133,9.094947017729283e-15,0.0,-1.4210854715202004e-14,0.0,0.03936111740767956
150,3,291,-2701.3474333001163,-2701.347433300117,0.0,0.0,-2.1316282072803006e-14,0.0,0.040630437433719635
150,4,295,-2649.879335186984,-2649.879335186985,0.0,0.0,-1.4210854715202004e-14,0.0,0.04119049105793238
150,5,295,-2716.9548218721334,-2716.954821872133,3.031649005909761e-15,0.0,-1.4210854715202004e-14,0.0,0.04035272914916277
150,6,288,-2754.9432143546123,-2754.943214354613,0.0,0.0,-1.4210854715202004e-14,0.0,0.03989515360444784
150,7,284,-2789.8872421826763,-2789.8872421826754,6.063298011819522e-15,0.0,-1.4210854715202004e-14,0.0,0.0394307067617774
150,8,252,-2976.6351849275534,-2976.6351849275534,0.0,0.0,-1.4210854715202004e-14,0.0,0.03589428961277008
150,9,266,-2870.4720901270493,-2870.4720901270503,0.0,0.0,-1.4210854715202004e-14,0.0,0.0380207896232605
150,10,256,-3014.4115322559055,-3014.4115322559073,0.0,0.0,-1.4210854715202004e-14,0.0,0.036579043604433537
150,11,255,-2961.214084573614,-2961.214084573615,0.0,0.0,-1.4210854715202004e-14,0.0,0.036120337434113026
150,12,262,-2922.3575613512535,-2922.3575613512535,0.0,0.0,-1.0658141036401503e-14,0.0,0.03690703120082617
150,13,286,-2754.46084176437,-2754.4608417643703,0.0,0.0,-1.4210854715202004e-14,0.0,0.03962210565805435
150,14,275,-2855.806126101997,-2855.806126101997,0.0,0.0,-2.1316282072803006e-14,0.0,0.03848519641906023
150,15,261,-2900.4962118495882,-2900.496211849587,9.094947017729283e-15,0.0,-1.4210854715202004e-14,0.0,0.03641394432634115
175,0,307,-3425.58460111037,-3425.5846011103718,0.0,0.0,-2.842170943040401e-14,0.0,0.0423277011141181
175,1,304,-3384.425666184543,-3384.425666184543,0.0,0.0,-1.7763568394002505e-14,0.0,0.04364066943526268
175,2,317,-3359.781427687847,-3359.7814276878476,0.0,0.0,-1.7763568394002505e-14,0.0,0.04424174316227436
175,3,308,-3355.5246318208033,-3355.5246318208037,0.0,0.0,-1.4210854715202004e-14,0.0,0.043483980000019073
175,4,324,-3334.3789708201634,-3334.3789708201643,0.0,0.0,-1.4210854715202004e-14,0.0,0.044379851780831814
175,5,332,-3224.476564163344,-3224.476564163344,0.0,0.0,-2.1316282072803006e-14,0.0,0.04583125840872526
175,6,322,-3256.487595484523,-3256.487595484524,0.0,0.0,-2.1316282072803006e-14,0.0,0.04487352818250656
175,7,326,-3253.338398028043,-3253.3383980280432,0.0,0.0,-1.4210854715202004e-14,0.0,0.04526680335402489
175,8,305,-3468.328145142169,-3468.3281451421676,7.795668872339385e-15,0.0,-2.1316282072803006e-14,0.0,0.04204827453941107
175,9,304,-3384.3051413633166,-3384.3051413633148,1.039422516311918e-14,0.0,-2.1316282072803006e-14,0.0,0.04413855355232954
175,10,352,-3058.7031749427265,-3058.703174942726,2.598556290779795e-15,0.0,-2.1316282072803006e-14,0.0,0.04786284081637859
175,11,304,-3407.773560704476,-3407.773560704478,0.0,0.0,-2.1316282072803006e-14,0.0,0.043139453046023846
175,12,319,-3320.2690792397984,-3320.269079239797,7.795668872339385e-15,0.0,-2.1316282072803006e-14,0.0,0.04498887713998556
175,13,312,-3420.375988317486,-3420.375988317486,0.0,0.0,-1.4210854715202004e-14,0.0,0.043765828013420105
175,14,307,-3394.666529266502,-3394.666529266503,0.0,0.0,-2.1316282072803006e-14,0.0,0.04331617057323456
175,15,324,-3257.57679110957,-3257.5767911095695,2.598556290779795e-15,0.0,-1.4210854715202004e-14,0.0,0.04503987543284893
200,0,363,-3786.754470600499,-3786.754470600499,0.0,0.0,-2.1316282072803006e-14,0.0,0.05027279816567898
200,1,355,-3847.275646155172,-3847.2756461551735,0.0,0.0,-2.1316282072803006e-14,0.0,0.04909504950046539
200,2,335,-3951.7665169806237,-3951.7665169806232,2.2737367544323206e-15,0.0,-2.1316282072803006e-14,0.0,0.047776869498193264
200,3,345,-3904.9193787895497,-3904.9193787895492,2.2737367544323206e-15,0.0,-1.7763568394002505e-14,0.0,0.04803742840886116
200,4,365,-3749.496784794829,-3749.4967847948283,4.547473508864641e-15,0.0,-2.1316282072803006e-14,0.0,0.05042685568332672
200,5,355,-3813.238829818999,-3813.2388298189985,2.2737367544323206e-15,0.0,-2.1316282072803006e-14,0.0,0.049440646544098854
200,6,367,-3723.29305382696,-3723.29305382696,0.0,0.0,-2.1316282072803006e-14,0.0,0.050996181555092335
200,7,333,-4033.0204136760944,-4033.020413676094,2.2737367544323206e-15,0.0,-1.4210854715202004e-14,0.0,0.04667837079614401
200,8,372,-3745.334844825108,-3745.3348448251063,9.094947017729283e-15,0.0,-2.1316282072803006e-14,0.0,0.05100374110043049
200,9,350,-3897.7210306889638,-3897.7210306889624,6.8212102632969615e-15,0.0,-1.4210854715202004e-14,0.0,0.049211857840418816
